#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:output_sequences_saved" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:output_sequences_saved" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:output_sequences_saved" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.output_sequences_saved" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:output_sequences_saved" name="distribution" x="@birthRate.t:output_sequences_saved">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@output_sequences_saved" id="treeLikelihood.output_sequences_saved" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:output_sequences_saved">
#            <siteModel id="SiteModel.s:output_sequences_saved" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:output_sequences_saved" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:output_sequences_saved" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:output_sequences_saved" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:output_sequences_saved" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:output_sequences_saved" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:output_sequences_saved" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-4833.457959402143	-4826.337693064776	-7.1202663373669965	-4826.337693064776	1.656820495150193	7.1202663373669965	-7.1202663373669965	1.0
1000	-2017.3406601452332	-2007.52227225288	-9.818387892353218	-2007.52227225288	1.5557680880139437	12.824388339059652	-9.818387892353218	2.417860254326716
2000	-1606.3294698639484	-1608.6618911477578	2.3324212838095892	-1608.6618911477578	1.3050658080150987	7.636449954108662	2.3324212838095892	4.218872449312829
3000	-1515.6117776593726	-1520.2295970960856	4.617819436713137	-1520.2295970960856	1.1953723433048715	7.231848401140829	4.617819436713137	2.937458449166646
4000	-1501.4700502612075	-1506.333743720382	4.863693459174449	-1506.333743720382	1.1775435193616994	7.095003381023815	4.863693459174449	4.024572237849108
5000	-1494.316495432733	-1502.3829346839802	8.066439251247184	-1502.3829346839802	1.0148395724979877	6.241218614926616	8.066439251247184	3.3081378790589047
6000	-1485.7949593142275	-1492.2096179773787	6.414658663151242	-1492.2096179773787	1.1080452596655235	6.62216946352096	6.414658663151242	4.405384203600078
7000	-1472.651726722194	-1478.5568113481654	5.90508462597124	-1478.5568113481654	1.3793449522119046	6.903312008049713	5.90508462597124	3.4632887296359605
8000	-1466.6457709205963	-1474.9640547745298	8.318283853933567	-1474.9640547745298	1.0597567527474618	6.119949117622138	8.318283853933567	3.1902989832126787
9000	-1470.3499323432047	-1473.6010483805244	3.2511160373197363	-1473.6010483805244	1.4622771083334538	7.708254114513405	3.2511160373197363	3.1902989832126787
10000	-1462.0019521944705	-1466.9451028663789	4.943150671908278	-1466.9451028663789	1.4321119498923784	6.862023672730241	4.943150671908278	4.669429033393015
11000	-1460.2026235293692	-1457.8492364021015	-2.3533871272678173	-1457.8492364021015	2.058852966245257	9.727054502732798	-2.3533871272678173	2.590227701302438
12000	-1454.2060201383752	-1459.9743444419667	5.768324303591548	-1459.9743444419667	1.353660654596372	6.935330573757227	5.768324303591548	3.6237409071057933
13000	-1463.4434784504633	-1460.1785902675647	-3.264888182898642	-1460.1785902675647	2.244319627950542	9.679766237467051	-3.264888182898642	1.8143897539235625
14000	-1461.1521290685419	-1460.2937604783513	-0.8583685901905227	-1460.2937604783513	1.7872585744213714	9.14867558802566	-0.8583685901905227	2.5699268195308465
