#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:output_sequences" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:output_sequences" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:output_sequences" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.output_sequences" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:output_sequences" name="distribution" x="@birthRate.t:output_sequences">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@output_sequences" id="treeLikelihood.output_sequences" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:output_sequences">
#            <siteModel id="SiteModel.s:output_sequences" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:output_sequences" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:output_sequences" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:output_sequences" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:output_sequences" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:output_sequences" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:output_sequences" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-2776.931419642969	-2769.157863399426	-7.773556243543432	-2769.157863399426	1.5821513080729614	7.773556243543431	-7.773556243543432	1.0
1000	-1100.3226775188045	-1116.6635238587628	16.34084633995822	-1116.6635238587628	0.9120285706767386	4.463852469284802	16.34084633995822	5.641164294506001
2000	-810.4582389787352	-841.8011397078769	31.342900729141743	-841.8011397078769	0.5544921010658721	2.3666591146018834	31.342900729141743	8.733838725893218
3000	-783.0267158912785	-817.7950188400947	34.7683029488162	-817.7950188400947	0.5194924159933576	2.0643381471860707	34.7683029488162	12.772522663428912
4000	-771.4750414171575	-808.448223075761	36.97318165860353	-808.448223075761	0.4941738004469095	1.8917114259119334	36.97318165860353	12.772522663428912
5000	-671.7151260214955	-711.949732885009	40.234606863513484	-711.949732885009	0.45703640606893364	1.6455966849796866	40.234606863513484	15.840482260523672
6000	-666.4127798017499	-707.2884537185679	40.87567391681797	-707.2884537185679	0.44344833435248077	1.6074627627113294	40.87567391681797	15.262437497348513
7000	-659.0525235189982	-701.3150571531185	42.26253363412023	-701.3150571531185	0.38651910243175613	1.4761957514740605	42.26253363412023	12.72861112628933
8000	-660.4740495697638	-702.1867121441054	41.71266257434161	-702.1867121441054	0.4084310361261607	1.4916822852198854	41.71266257434161	21.08698518388387
9000	-656.1994528735287	-703.8450944967936	47.64564162326496	-703.8450944967936	0.34876416124572984	1.212583664746983	47.64564162326496	20.019708270067614
10000	-655.4842237849875	-700.3992220278598	44.914998242872244	-700.3992220278598	0.4073845011716083	1.355055879649832	44.914998242872244	16.429545690213267
11000	-665.046176048792	-703.171131249425	38.12495520063302	-703.171131249425	0.48975513405489773	1.7540940587997966	38.12495520063302	17.150811528933254
12000	-666.3632801141655	-706.6651651402215	40.301885026056006	-706.6651651402215	0.4245301803939156	1.6311352941238022	40.301885026056006	16.83982924217542
13000	-663.5708209818681	-703.9947409043245	40.423919922456406	-703.9947409043245	0.4328842805215092	1.6245082991846649	40.423919922456406	16.78686611204931
14000	-659.3951718383689	-700.200995939881	40.80582410151207	-700.200995939881	0.409996418835848	1.5795977395441005	40.80582410151207	12.312124297101287
