#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:sequences" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:sequences" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:sequences" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sequences" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:sequences" name="distribution" x="@birthRate.t:sequences">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sequences" id="treeLikelihood.sequences" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sequences">
#            <siteModel id="SiteModel.s:sequences" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequences" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequences" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequences" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequences" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sequences" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sequences" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-13418.904589646267	-13414.101086564227	-4.803503082039847	-13414.101086564227	0.8542414249431342	4.803503082039849	-4.803503082039847	1.0
1000	-9702.819214772848	-9733.559344661997	30.74012988914861	-9733.559344661997	0.39411899673997036	2.412221276799443	30.74012988914861	11.87804231812068
2000	-8464.557362992835	-8510.57085988405	46.01349689121612	-8510.57085988405	0.10406645317013555	1.291782507235103	46.01349689121612	16.817270490756954
3000	-7915.635672239987	-7963.956873247996	48.32120100800855	-7963.956873247996	0.08890638525401856	1.1778536427747506	48.32120100800855	21.289889856558695
4000	-7772.326235140916	-7821.4665035635035	49.140268422587994	-7821.4665035635035	0.08863195426513273	1.1333561320812153	49.140268422587994	19.058655298235415
5000	-7687.233405849607	-7736.015188226698	48.78178237709109	-7736.015188226698	0.08620473968243858	1.14101836357684	48.78178237709109	24.690198301497066
6000	-7551.956784858639	-7599.645783222703	47.68899836406438	-7599.645783222703	0.08316633910394419	1.1783644239633382	47.68899836406438	16.002176487324505
7000	-7415.590916037724	-7463.398992636863	47.808076599138964	-7463.398992636863	0.083383535211976	1.1343968340751505	47.808076599138964	14.650837996567645
8000	-7387.311894883678	-7436.826948891605	49.515054007926494	-7436.826948891605	0.0762626824858376	1.1025205323143028	49.515054007926494	17.96339498685853
9000	-7373.605614446066	-7423.158003820365	49.55238937429877	-7423.158003820365	0.07753593762673847	1.1052940335730177	49.55238937429877	25.444174311511958
10000	-7296.10045904086	-7345.583378420461	49.48291937960012	-7345.583378420461	0.07983692028494775	1.1153938298177832	49.48291937960012	19.060836243981086
11000	-7296.637126531328	-7345.822598584146	49.18547205281819	-7345.822598584146	0.08300016345384259	1.0887492289391196	49.18547205281819	16.156777984473052
12000	-7288.270835648689	-7338.077523236007	49.80668758731845	-7338.077523236007	0.08764041415437458	1.10769523984149	49.80668758731845	20.99290394249134
13000	-7295.4681705016765	-7343.609908871317	48.141738369641054	-7343.609908871317	0.09023937108406738	1.1664482273207146	48.141738369641054	24.752437718190283
14000	-7280.466581110356	-7330.3133434033525	49.8467622929969	-7330.3133434033525	0.0731599586356175	1.0974973251054259	49.8467622929969	24.765539226467045
15000	-7269.804104251786	-7319.68592275722	49.88181850543414	-7319.68592275722	0.08098984522545186	1.1043775618215383	49.88181850543414	22.32238683625506
16000	-7284.862944579519	-7332.206696354541	47.34375177502241	-7332.206696354541	0.0842629596304795	1.1900233839696204	47.34375177502241	15.525072340230901
17000	-7271.277996931423	-7320.817337170034	49.53934023861116	-7320.817337170034	0.07804027678992176	1.1027842263731424	49.53934023861116	18.090373859841645
18000	-7278.237470854066	-7328.240361605543	50.00289075147727	-7328.240361605543	0.0789974833386058	1.0990830938242266	50.00289075147727	21.494625228157226
19000	-7275.702092721816	-7323.058996058003	47.35690333618639	-7323.058996058003	0.08718953386482617	1.2053199021362244	47.35690333618639	23.9447065180816
20000	-7271.503259420866	-7320.589594404864	49.08633498399792	-7320.589594404864	0.08093304174703284	1.088144293943177	49.08633498399792	29.640227538745588
21000	-7278.465657315416	-7327.618097843029	49.15244052761312	-7327.618097843029	0.07829621128647601	1.1139069876134184	49.15244052761312	17.32229634944918
22000	-7267.2956421474155	-7313.835904207491	46.54026206007502	-7313.835904207491	0.07974986810727054	1.1411263739543334	46.54026206007502	32.30745793599742
23000	-7278.258951081655	-7325.96219692516	47.7032458435048	-7325.96219692516	0.08872049504709974	1.2078534981966218	47.7032458435048	18.77594487424507
24000	-7269.676165815061	-7319.861668719012	50.18550290395175	-7319.861668719012	0.07719835529613192	1.065014196852693	50.18550290395175	27.839378654437564
25000	-7271.074547916454	-7322.747249787287	51.67270187083244	-7322.747249787287	0.07614888806786499	1.024513061623469	51.67270187083244	22.497118470538698
26000	-7268.512642386896	-7319.1978605805225	50.68521819362682	-7319.1978605805225	0.0774772088599224	1.0680719861922099	50.68521819362682	21.911456078722875
27000	-7270.747143014932	-7320.374058177553	49.626915162621415	-7320.374058177553	0.08176015960202211	1.0953346580708927	49.626915162621415	26.49044905389091
28000	-7280.678682106867	-7329.569155164138	48.89047305727066	-7329.569155164138	0.08490763100551169	1.1301352065781423	48.89047305727066	17.398157268149763
29000	-7270.594012279564	-7318.912615116259	48.318602836695064	-7318.912615116259	0.08079581623803815	1.1499824252377662	48.318602836695064	16.5418327707089
30000	-7272.309651624943	-7322.237295552568	49.92764392762428	-7322.237295552568	0.07951171713082342	1.0989144911822175	49.92764392762428	20.084823517993026
31000	-7264.036628527222	-7313.902282312805	49.865653785583376	-7313.902282312805	0.07794876698776296	1.1051219304521076	49.865653785583376	21.137481820038975
32000	-7269.775465264289	-7319.506253192599	49.73078792831009	-7319.506253192599	0.08602184351264362	1.0996238666494627	49.73078792831009	18.75047333113876
33000	-7269.483519593923	-7319.351245181138	49.8677255872151	-7319.351245181138	0.08660003353643321	1.0987517597998302	49.8677255872151	19.52620395284245
34000	-7272.062290884386	-7321.074101132714	49.01181024832787	-7321.074101132714	0.07685554727435612	1.1393332670887368	49.01181024832787	18.941222525680033
35000	-7272.168328828078	-7320.712429677675	48.54410084959593	-7320.712429677675	0.08521147668402532	1.1525947673641106	48.54410084959593	24.41525145133046
36000	-7273.673665371387	-7323.586405024353	49.91273965296578	-7323.586405024353	0.08498903091508446	1.0970201264154182	49.91273965296578	19.612784565556378
37000	-7274.244040954525	-7323.477048533952	49.23300757942678	-7323.477048533952	0.08361094015537507	1.134421309466913	49.23300757942678	20.45858484098268
38000	-7274.491581197925	-7323.899339867026	49.40775866910113	-7323.899339867026	0.0790175829712001	1.1234061302249043	49.40775866910113	23.070669469957313
39000	-7276.922200835784	-7326.144358316036	49.22215748025276	-7326.144358316036	0.08705051652304566	1.1306422930027025	49.22215748025276	19.309161294763104
40000	-7269.711167489625	-7320.476747605401	50.76558011577594	-7320.476747605401	0.08179694777358436	1.060303125832623	50.76558011577594	20.60802430480575
