"beta1","beta2","beta3","step0","seconds","trials","beta1_star_final","beta2_star_final","beta3_star_final","beta1_star_mean_tail","beta2_star_mean_tail","beta3_star_mean_tail","beta1_star_sd_tail","beta2_star_sd_tail","beta3_star_sd_tail"
3,0,3,0.1,18695.8281700611,100000,3.46,0,5,3.5343409,0,5,0.0488665309383284,0,0
3,0,1,0.1,18695.8281700611,100000,3.79000000000004,0,3.33999999999999,3.73417170000004,0,3.31022989999999,0.0663755341472985,0,0.0389784431753081
2,0,2,0.1,18695.8281700611,100000,2.05000000000013,0,1.63000000000003,1.91955210000013,0,1.64947870000003,0.0773163271365029,0,0.0667586240165818
2,0,3,0.1,18695.8281700611,100000,2.05500000000011,0,4.185,2.01068280000008,0,4.205192,0.0533001557436001,0,0.0214475018570154
1,0,1,0.1,18695.8281700611,100000,1.05000000000009,0,1.06,0.98666930000009,0,1.14446520000001,0.070712254538861,0,0.0732185373252151
1,0,0.5,0.1,18695.8281700611,100000,0.974999999999892,0,0.37999999999999,1.05036459999992,0,0.343016799999987,0.072944180603459,0,0.0647610361065683
0.7,0,0.7,0.07,18695.8281700611,100000,0.674500000000035,0,0.68850000000002,0.685264810000018,0,0.644868860000018,0.0620425661644007,0,0.0532167962475034
0.7,0,0.3,0.07,18695.8281700611,100000,0.681499999999984,0,0.142500000000032,0.695052909999994,0,0.160092050000019,0.0628727550310822,0,0.0537696980222652
0.5,0,0.5,0.05,18695.8281700611,100000,0.475000000000004,0,0.485000000000003,0.498720400000013,0,0.547252599999998,0.0515939590705353,0,0.0439690085027397
0.5,0,2,0.05,18695.8281700611,100000,0.480000000000019,0,2.03249999999998,0.500679300000019,0,1.97617944999998,0.0523146015741382,0,0.0425236720892168
0.3,0,0.3,0.01,18695.8281700611,100000,0.281500000000004,0,0.380999999999999,0.301705860000002,0,0.373202929999999,0.022535943269258,0,0.0231775056542009
0.3,0,0.7,0.01,18695.8281700611,100000,0.324999999999987,0,0.690499999999991,0.305886589999985,0,0.670432099999985,0.0225651256781302,0,0.0213551785397125
0.1,0,0.1,0.01,18695.8281700611,100000,0.0955000100000017,0,0.0875000100000006,0.17533278,0,0.0569302400000002,0.250411119708578,0,0.0226724093979906
0.1,0,1,0.01,18695.8281700611,100000,0.282000010000002,0,0.996500000000014,0.12144386,0,1.00260770000001,0.0663531160300516,0,0.0228523199102528
